tag	source	path	spans	hits	tag_rows_in_file
S01	draft	src/services/discord/tui_prompt_relay/synthetic_start/claim.rs	72-140,204-239,115-239	6	5
S01	draft	src/services/discord/tui_prompt_relay/synthetic_start/bridge_handoff.rs	53-70,108-141	2	2
S02	draft	src/services/discord/tmux_watcher/loop_poll_prologue.rs	522-556	2	14
S02	draft	src/services/discord/tmux_watcher/streaming_status_tick.rs	254-291	3	38
S02	draft	src/services/discord/tmux_watcher/liveness.rs	480-575	2	4
S03	draft	src/services/discord/tmux_watcher/streaming_status_tick.rs	139-164,897-932	6	38
S04	draft	src/services/discord/tmux_watcher/streaming_status_tick.rs	738-805	6	38
S05	draft	src/services/discord/tmux_watcher/streaming_status_tick.rs	340-670	10	38
S05	draft	src/services/discord/tmux_placeholder_suppression/ops.rs	31-135,183-250	8	8
S05	draft	src/services/discord/tmux_watcher.rs	1676-1717,1900-1952	2	71
S06	draft	src/services/discord/tmux_watcher/terminal_relay_plan.rs	173-310	2	8
S06	draft	src/services/discord/tmux_watcher/terminal_direct_fallback.rs	188-360	5	16
S06	draft	src/services/discord/tmux_watcher.rs	1770-1890	4	71
S07	draft	src/services/discord/session_relay_sink.rs	71-139,635-800,807-1120	18	25
S07	draft	src/services/discord/session_relay_sink/idle_jsonl.rs	19-40,133-150,235-249	0	0
S08	draft	src/services/discord/tui_prompt_relay/claude_idle_tail.rs	25-116,245-425	2	4
S08	draft	src/services/discord/turn_bridge/terminal_delivery.rs	98-171	3	3
S09	draft	src/services/discord/standby_relay.rs	94-220,547-573,620-870	7	17
S10	draft	src/services/discord/recovery_engine/restore_inflight.rs	63-260,260-400,530-810,1690-1970	27	59
S10	draft	src/services/discord/recovery_engine/terminal_text_idempotency.rs	678-795	9	9
S10	draft	src/services/discord/tmux.rs	241-305	2	2
S10	draft	src/services/discord/recovery_engine/phase_policy.rs	32-104	0	0
S11	draft	src/services/discord/watchers/lifecycle/restore.rs	479-535,670-735	7	10
S11	draft	src/services/discord/recovery_engine/manual_rebind/mod.rs	200-275,915-953	7	19
S12	draft	src/services/discord/tmux_watcher.rs	227-242,342-485	10	71
S12	draft	src/services/discord/tmux_watcher/cancel_handoff.rs	1-23,99-207,210-438	1	1
S13	draft	src/services/discord/tmux_session_files.rs	613-640	0	0
S13	draft	src/services/discord/tmux.rs	1191-1308	3	3
S13	draft	src/services/discord/tmux_watcher.rs	1840-1890	2	71
S14	draft	src/services/discord/delivery_lease_cell.rs	705-965	4	4
S14	draft	src/services/discord/outbound/delivery_record.rs	85-159	0	0
S14	draft	src/services/discord/session_relay_sink/journal.rs	126-230	1	1
S15	draft	src/services/discord/tmux_watcher/terminal_commit_epilogue.rs	157-260	2	6
S15	draft	src/services/discord/tmux_watcher.rs	2047-2195	0	71
S15	draft	src/services/discord/inflight/watcher_state.rs	90-340	10	10
S16	draft	src/services/discord/tmux_watcher/post_stream_exit.rs	68-125	1	2
S16	draft	src/services/discord/tmux_watcher/turn_identity.rs	115-157	2	2
S16	draft	src/services/discord/inflight/clear_store/mod.rs	600-645	1	1
S17	draft	src/services/discord/runtime_bootstrap.rs	272-273	2	5
S17	draft	src/services/discord/inflight/removal/boot_reaper.rs	94-180	1	1
S17	draft	src/services/discord/runtime_bootstrap/queued_recovery.rs	135-169	5	5
