범주	file::함수	행수	도달	리뷰 태그
A	src/cli/dcserver.rs::handle_dcserver	2	불명	-
A	src/cli/direct.rs::cmd_discord_read	1	불명	-
A	src/cli/direct.rs::cmd_discord_thread_create	1	불명	-
A	src/cli/direct.rs::cmd_send	1	불명	-
A	src/cli/direct.rs::cmd_send_to_agent	1	불명	-
A	src/cli/discord.rs::send	3	불명	-
A	src/cli/discord.rs::send_channel_message	1	불명	-
A	src/cli/discord.rs::send_file	1	불명	-
A	src/cli/discord.rs::send_user_message	1	불명	-
A	src/cli/discord_thread_create.rs::create	1	불명	-
A	src/cli/init.rs::<module>	1	불명	-
A	src/github/sync.rs::sync_loaded_github_issues_for_repo_pg	2	불명	-
A	src/server/mod.rs::dm_reply_retry_loop	1	불명	-
A	src/server/outbox_actionable_delivery.rs::deliver	2	불명	-
A	src/server/outbox_actionable_delivery.rs::deliver_with_bot	1	불명	-
A	src/server/routes/agents.rs::agent_message	1	불명	-
A	src/server/routes/auto_queue.rs::request_generate	1	불명	-
A	src/server/routes/discord.rs::channel_info	1	불명	-
A	src/server/routes/discord.rs::channel_messages	1	불명	-
A	src/server/routes/discord.rs::ensure_channel_is_role_mapped	2	불명	-
A	src/server/routes/discord.rs::fetch_discord_channel_info	1	불명	-
A	src/server/routes/domains/agents.rs::router	1	불명	-
A	src/server/routes/domains/integrations.rs::router	3	불명	-
A	src/server/routes/domains/onboarding.rs::router	2	불명	-
A	src/server/routes/domains/ops.rs::router	7	불명	-
A	src/server/routes/domains/runtime.rs::router	2	불명	-
A	src/server/routes/e2e_control.rs::delete_discord_message	1	불명	-
A	src/server/routes/escalation.rs::<module>	1	불명	-
A	src/server/routes/escalation.rs::deliver_pm_fallback	1	불명	-
A	src/server/routes/escalation.rs::emit_escalation	1	불명	-
A	src/server/routes/escalation.rs::emit_escalation_with_base_url	5	불명	-
A	src/server/routes/escalation.rs::send_channel_message	1	불명	-
A	src/server/routes/escalation.rs::try_reuse_escalation_thread	1	불명	-
A	src/server/routes/health_api.rs::relay_recovery_handler	1	불명	-
A	src/server/routes/health_api.rs::send_handler	2	불명	-
A	src/server/routes/health_api.rs::send_to_agent_handler	1	불명	-
A	src/server/routes/health_api.rs::senddm_handler	1	불명	-
A	src/server/routes/idle_recap.rs::post_idle_recap	1	불명	-
A	src/server/routes/idle_recap.rs::run_idle_recap_post_job	7	불명	-
A	src/server/routes/mod.rs::compose_api_router	2	불명	-
