# tag	source	path	spans  (draft = r5 초벌 1절 표 인용, review = r5 리뷰 1.1/1.2/3.1/3.2 인용; 점 인용은 감싸는 fn 전체로 확장)
S01	draft	src/services/discord/tui_prompt_relay/synthetic_start/claim.rs	72-140,204-239,115-239
S01	draft	src/services/discord/tui_prompt_relay/synthetic_start/bridge_handoff.rs	53-70,108-141
S02	draft	src/services/discord/tmux_watcher/loop_poll_prologue.rs	522-556
S02	draft	src/services/discord/tmux_watcher/streaming_status_tick.rs	254-291
S02	draft	src/services/discord/tmux_watcher/liveness.rs	480-575
S03	draft	src/services/discord/tmux_watcher/streaming_status_tick.rs	139-164,897-932
S04	draft	src/services/discord/tmux_watcher/streaming_status_tick.rs	738-805
S05	draft	src/services/discord/tmux_watcher/streaming_status_tick.rs	340-670
S05	draft	src/services/discord/tmux_placeholder_suppression/ops.rs	31-135,183-250
S05	draft	src/services/discord/tmux_watcher.rs	1676-1717,1900-1952
S06	draft	src/services/discord/tmux_watcher/terminal_relay_plan.rs	173-310
S06	draft	src/services/discord/tmux_watcher/terminal_direct_fallback.rs	188-360
S06	draft	src/services/discord/tmux_watcher.rs	1770-1890
S07	draft	src/services/discord/session_relay_sink.rs	71-139,635-800,807-1120
S07	draft	src/services/discord/session_relay_sink/idle_jsonl.rs	19-40,133-150,235-249
S08	draft	src/services/discord/tui_prompt_relay/claude_idle_tail.rs	25-116,245-425
S08	draft	src/services/discord/turn_bridge/terminal_delivery.rs	98-171
S09	draft	src/services/discord/standby_relay.rs	94-220,547-573,620-870
S10	draft	src/services/discord/recovery_engine/restore_inflight.rs	63-260,260-400,530-810,1690-1970
S10	draft	src/services/discord/recovery_engine/terminal_text_idempotency.rs	678-795
S10	draft	src/services/discord/tmux.rs	241-305
S10	draft	src/services/discord/recovery_engine/phase_policy.rs	32-104
S11	draft	src/services/discord/watchers/lifecycle/restore.rs	479-535,670-735
S11	draft	src/services/discord/recovery_engine/manual_rebind/mod.rs	200-275,915-953
S12	draft	src/services/discord/tmux_watcher.rs	227-242,342-485
S12	draft	src/services/discord/tmux_watcher/cancel_handoff.rs	1-23,99-207,210-438
S13	draft	src/services/discord/tmux_session_files.rs	613-640
S13	draft	src/services/discord/tmux.rs	1191-1308
S13	draft	src/services/discord/tmux_watcher.rs	1840-1890
S14	draft	src/services/discord/delivery_lease_cell.rs	705-965
S14	draft	src/services/discord/outbound/delivery_record.rs	85-159
S14	draft	src/services/discord/session_relay_sink/journal.rs	126-230
S15	draft	src/services/discord/tmux_watcher/terminal_commit_epilogue.rs	157-260
S15	draft	src/services/discord/tmux_watcher.rs	2047-2195
S15	draft	src/services/discord/inflight/watcher_state.rs	90-340
S16	draft	src/services/discord/tmux_watcher/post_stream_exit.rs	68-125
S16	draft	src/services/discord/tmux_watcher/turn_identity.rs	115-157
S16	draft	src/services/discord/inflight/clear_store/mod.rs	600-645
S17	draft	src/services/discord/runtime_bootstrap.rs	272-273
S17	draft	src/services/discord/inflight/removal/boot_reaper.rs	94-180
S17	draft	src/services/discord/runtime_bootstrap/queued_recovery.rs	135-169
S18	draft	src/services/discord/inflight/removal.rs	616-730
S18	draft	src/services/discord/inflight/clear_store/mod.rs	40-50,365-435,690-743
S19	draft	src/services/discord/tmux_watcher/utf8_chunk_decoder.rs	12-112
S19	draft	src/services/tmux_common.rs	15-110
S19	draft	src/services/claude/tui_session_launch.rs	20-42
S20	draft	src/services/discord/runtime_bootstrap/spawns.rs	218-323
S20	draft	src/services/discord/runtime_bootstrap/deferred_restart.rs	72-84,142-161,209-225
S20	draft	src/services/discord/task_supervisor/watcher_completion.rs	27-46
S20	draft	scripts/deploy-release.sh	2847-2891
M1	review	src/services/discord/tmux_watcher/liveness.rs	172
M1	review	src/services/discord/tmux_restart_handoff.rs	276,289,370,462
M2	review	src/services/discord/turn_bridge/stream_tick.rs	910-929
M2	review	src/services/discord/turn_bridge/retry_state.rs	99-110
M3	review	src/services/discord/turn_bridge/terminal_outcome_delivery/delivery_epilogue.rs	93-101
M3	review	src/services/discord/turn_bridge/bridge_entry_persist.rs	294
M4	review	src/services/discord/turn_bridge/retry_state.rs	203
M5	review	src/services/discord/turn_bridge/terminal_outcome_delivery/cancel_prompt_replace.rs	222,322
M5	review	src/services/discord/turn_bridge/terminal_outcome_delivery.rs	211,254
M6	review	src/services/discord/turn_bridge/terminal_outcome_delivery/recovery_retry.rs	88
M6	review	src/services/discord/turn_bridge/single_message_footer.rs	163
M6	review	src/services/discord/turn_bridge/status_panel.rs	462
M6	review	src/services/discord/turn_bridge/current_message_anchor.rs	44,88
M6	review	src/services/discord/turn_bridge/watcher_orphan_cleanup.rs	141,204
M7	review	src/services/discord/tui_prompt_relay/claude_idle_runtime.rs	184-206
M7	review	src/services/discord/recovery_engine/idle_captured_response.rs	36,62,65
M7	review	src/services/discord/tui_prompt_relay/synthetic_start/bridge_handoff.rs	516
M8	review	src/services/discord/health/recovery.rs	2134,2335,2361,2450,2537
M9	review	src/services/discord/health/relay_auto_heal.rs	791
M10	review	src/services/discord/health.rs	fn:rebind_inflight_after_force_clean
M11	review	src/services/discord/inflight/orphan_relay_reclaim.rs	190-262
M12	review	src/services/discord/placeholder_sweeper.rs	441-457
M12	review	src/services/discord/placeholder_sweeper/abandon_guard.rs	288-305
M13	review	src/services/discord/status_panel_orphan_store.rs	790
M14	review	src/services/discord/startup_reclaim.rs	258,333
M15	review	src/services/discord/tmux.rs	1350-1376
M15	review	src/services/discord/tmux_watcher.rs	2446
M16	review	src/services/discord/outbound/delivery_record.rs	1605-1633
M16	review	src/services/discord/tui_prompt_relay/claude_idle_runtime.rs	245-341
M16	review	src/services/discord/recovery_engine/terminal_watcher.rs	124-139
M17	review	src/services/discord/tui_prompt_relay/session_rotation_settle.rs	257-270,330-380
M18	review	src/services/discord/health/recovery.rs	374,442
M18	review	src/services/discord/router/intake_gate/stale_turn.rs	194,253
