도달 사유	모듈	file::함수	행수	범주
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	discord	src/services/discord/queue_dispatch.rs::mailbox_front_requeue_outcome	1	A
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	discord	src/services/discord/queue_dispatch.rs::mailbox_take_soft_intervention	2	A
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	discord	src/services/discord/queue_io.rs::kick_idle_queue_channel_if_context_available	1	A
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	discord	src/services/discord/queue_io.rs::mailbox_cancel_queued_primary_message	1	A
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	discord	src/services/discord/queue_io.rs::race_loss_requeue_snapshot_has_idle_kickable_backlog	1	B
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	discord	src/services/discord/queue_io.rs::schedule_post_enqueue_idle_queue_kick	1	B
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	discord	src/services/discord/queue_marker.rs::note_exit_feedback_added	1	A
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	discord	src/services/discord/queue_marker.rs::note_removed_via_shared_generation	1	A
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	queue_dispatch	src/services/discord/queue_dispatch/kickoff.rs::kickoff_idle_queue_channel	3	AB
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	queue_dispatch	src/services/discord/queue_dispatch/kickoff.rs::kickoff_idle_queues_with_deps	1	A
Discord 발 큐 턴; 관리 채널 큐 공유 여부 판정 필요	queue_io	src/services/discord/queue_io/turn_admission.rs::mailbox_try_start_turn_ordered	1	A
Discord 발 턴 placeholder와 공용; 관리 턴 경로 사용 여부 호출자 추적 필요	discord	src/services/discord/placeholder_controller.rs::edit_message_with_retry	1	A
Discord 발 턴 placeholder와 공용; 관리 턴 경로 사용 여부 호출자 추적 필요	discord	src/services/discord/placeholder_controller.rs::ensure_active_incarnation	1	A
Discord 발 턴 placeholder와 공용; 관리 턴 경로 사용 여부 호출자 추적 필요	discord	src/services/discord/placeholder_controller.rs::ensure_active_incarnation_inner	1	A
Discord 발 턴 placeholder와 공용; 관리 턴 경로 사용 여부 호출자 추적 필요	discord	src/services/discord/placeholder_controller.rs::ensure_active_inner	1	A
Discord 발 턴 placeholder와 공용; 관리 턴 경로 사용 여부 호출자 추적 필요	discord	src/services/discord/placeholder_controller.rs::ensure_queued	1	A
Discord 발 턴 placeholder와 공용; 관리 턴 경로 사용 여부 호출자 추적 필요	discord	src/services/discord/placeholder_controller.rs::transition	1	A
Discord 발 턴 placeholder와 공용; 관리 턴 경로 사용 여부 호출자 추적 필요	placeholder_controller	src/services/discord/placeholder_controller/queued_card_gate.rs::delete	1	A
Discord 발 턴 placeholder와 공용; 관리 턴 경로 사용 여부 호출자 추적 필요	placeholder_controller	src/services/discord/placeholder_controller/queued_card_gate.rs::teardown_delete	1	A
Discord 발 턴 placeholder와 공용; 관리 턴 경로 사용 여부 호출자 추적 필요	placeholder_controller	src/services/discord/placeholder_controller/queued_card_gate.rs::teardown_exit_body	2	A
