kind	cat	name	files	depth	chain
wrapper	A	adopt_watcher_singleton_panel_after_fresh_bind	src/services/discord/tmux_watcher/two_message_panel.rs	3	delete_nonterminal_placeholder → delete_placeholder_with_operation → .delete_message
wrapper	A	apply_bridge_short_replace_controller	src/services/discord/turn_bridge/terminal_controller_cutover.rs	4	deliver_short_replace_via_controller → deliver_turn_output_with_fallback_revalidation → deliver → .send_message
wrapper	A	apply_dispatch_status_reaction_state	src/services/dispatches/discord_delivery/orchestration.rs	2	update_dispatch_reaction_presence → REST:channels/{}/messages
wrapper	A	apply_orphan_pending_token_cleanup	src/services/discord/health/relay_auto_heal.rs	6	auto_apply_relay_recovery_for_shared → auto_apply_relay_recovery_for_shared_at → apply_relay_recovery_plan → apply_relay_recovery_plan_with_seams → queue_or_resume_open_alert_with_enqueue → .pin
wrapper	A	apply_placeholder_suppression	src/services/discord/tmux_placeholder_suppression/ops.rs	3	delete_nonterminal_placeholder → delete_placeholder_with_operation → .delete_message
wrapper	A	apply_reaction	src/services/discord/turn_view_reconciler/apply.rs	5	try_add_reaction_raw_with_shared_detailed → try_reaction_raw_with_shared_detailed → try_reaction_raw_once_on_channel_detailed → apply_reaction_action_detailed → .create_reaction
wrapper	A	apply_reaction_action_detailed	src/services/discord/reaction_lifecycle.rs	1	.create_reaction
wrapper	A	apply_relay_recovery_plan	src/services/discord/relay_recovery_auto_heal_apply.rs	3	apply_relay_recovery_plan_with_seams → queue_or_resume_open_alert_with_enqueue → .pin
wrapper	A	apply_relay_recovery_plan_with_seams	src/services/discord/relay_recovery_auto_heal_apply.rs	2	queue_or_resume_open_alert_with_enqueue → .pin
wrapper	A	apply_watchdog_orphan_token_cleanup	src/services/discord/health/relay_auto_heal.rs	7	apply_orphan_pending_token_cleanup → auto_apply_relay_recovery_for_shared → auto_apply_relay_recovery_for_shared_at → apply_relay_recovery_plan → apply_relay_recovery_plan_with_seams → queue_or_resume_open_alert_with_enqueue → .pin
wrapper	A	apply_watcher_direct_fallback_send	src/services/discord/tmux_watcher/terminal_direct_fallback.rs	3	delete_terminal_placeholder → delete_placeholder_with_operation → .delete_message
